chain,triple,err_lucj,S0
newchain01,"(0, 1, 2)",583.0120332400357,8.606656673386103
newchain01,"(0, 1, 3)",600.1667463513982,8.23207604480229
newchain01,"(0, 1, 4)",596.0900967398875,7.954731276678526
newchain01,"(0, 1, 5)",598.7651626158179,7.954731276678526
newchain01,"(0, 1, 6)",587.2560990269528,8.23207604480229
newchain01,"(0, 1, 7)",599.1983758607012,8.606656673386103
newchain01,"(0, 1, 8)",606.9016094585828,11.2695437397008
newchain01,"(0, 1, 9)",613.0039616293415,12.151581760149767
newchain01,"(0, 2, 3)",572.777881193434,5.56918897848759
newchain01,"(0, 2, 4)",571.8552272131578,5.291844210363828
newchain01,"(0, 2, 5)",574.001893187349,5.291844210363828
newchain01,"(0, 2, 6)",563.1386836445182,5.569188978487591
newchain01,"(0, 2, 7)",579.1761932371724,5.943769607071405
newchain01,"(0, 2, 8)",561.4799648501831,8.606656673386103
newchain01,"(0, 2, 9)",613.6992718362854,9.488694693835068
newchain01,"(0, 3, 4)",595.4846194384098,4.917263581780013
newchain01,"(0, 3, 5)",596.9156484113158,4.917263581780013
newchain01,"(0, 3, 6)",584.9890967983198,5.194608349903776
newchain01,"(0, 3, 7)",598.9194810736213,5.56918897848759
newchain01,"(0, 3, 8)",586.026940461486,8.232076044802287
newchain01,"(0, 3, 9)",634.9379618428808,9.114114065251254
newchain01,"(0, 4, 5)",597.4355875612458,4.639918813656251
newchain01,"(0, 4, 6)",584.0040389945766,4.917263581780014
newchain01,"(0, 4, 7)",597.7886577524494,5.291844210363828
newchain01,"(0, 4, 8)",585.6089193224348,7.954731276678526
newchain01,"(0, 4, 9)",634.6306224705706,8.836769297127493
newchain01,"(0, 5, 6)",585.4824372804668,4.917263581780014
newchain01,"(0, 5, 7)",598.3871407327257,5.291844210363828
newchain01,"(0, 5, 8)",585.3350977795664,7.954731276678526
newchain01,"(0, 5, 9)",635.1771908213734,8.836769297127493
newchain01,"(0, 6, 7)",586.8570769532422,5.569188978487591
newchain01,"(0, 6, 8)",577.4197236465782,8.23207604480229
newchain01,"(0, 6, 9)",620.9606447288598,9.114114065251254
newchain01,"(0, 7, 8)",595.2846076332836,8.606656673386103
newchain01,"(0, 7, 9)",636.1834347335673,9.488694693835068
newchain01,"(0, 8, 9)",586.7546782424995,12.151581760149767
newchain01,"(1, 2, 3)",594.9830774676021,4.687150958038624
newchain01,"(1, 2, 4)",589.2407111971352,4.409806189914862
newchain01,"(1, 2, 5)",592.4179285324698,4.409806189914862
newchain01,"(1, 2, 6)",583.3245723076193,4.687150958038625
newchain01,"(1, 2, 7)",596.2270024460689,5.0617315866224395
newchain01,"(1, 2, 8)",631.0360055305546,7.724618652937137
newchain01,"(1, 2, 9)",572.5552012170203,8.606656673386103
newchain01,"(1, 3, 4)",609.7616313800422,4.035225561331047
newchain01,"(1, 3, 5)",612.189077746037,4.035225561331047
newchain01,"(1, 3, 6)",602.1449471977025,4.31257032945481
newchain01,"(1, 3, 7)",612.7426238162252,4.687150958038625
newchain01,"(1, 3, 8)",651.0870340202767,7.3500380243533225
newchain01,"(1, 3, 9)",590.1871141189891,8.23207604480229
newchain01,"(1, 4, 5)",608.003520916796,3.7578807932072844
newchain01,"(1, 4, 6)",596.2643637668572,4.035225561331047
newchain01,"(1, 4, 7)",606.9609410847763,4.409806189914862
newchain01,"(1, 4, 8)",646.5868353277368,7.0726932562295595
newchain01,"(1, 4, 9)",585.2964975665378,7.954731276678526
newchain01,"(1, 5, 6)",598.7918581319942,4.035225561331048
newchain01,"(1, 5, 7)",608.528167270161,4.409806189914862
newchain01,"(1, 5, 8)",647.2613789718915,7.0726932562295595
newchain01,"(1, 5, 9)",587.1000782501818,7.954731276678526
newchain01,"(1, 6, 7)",598.7780906681141,4.687150958038625
newchain01,"(1, 6, 8)",641.1490527764201,7.3500380243533225
newchain01,"(1, 6, 9)",574.9078398376665,8.23207604480229
newchain01,"(1, 7, 8)",654.9159373059856,7.724618652937137
newchain01,"(1, 7, 9)",587.0452456169381,8.606656673386103
newchain01,"(1, 8, 9)",594.3131565194317,11.2695437397008
newchain01,"(2, 3, 4)",556.9569494781224,1.3723384950163493
newchain01,"(2, 3, 5)",558.6353863922992,1.3723384950163493
newchain01,"(2, 3, 6)",549.3042110758956,1.6496832631401122
newchain01,"(2, 3, 7)",564.4681621819423,2.024263891723927
newchain01,"(2, 3, 8)",578.7706103812847,4.687150958038624
newchain01,"(2, 3, 9)",562.4857947352107,5.569188978487591
