triple,budget,status,err_mHa,captured,wall_s,dim
"(0, 4, 6)",15,OK,295.8198576831057,0.5749080116609866,1.1398251056671143,225
"(0, 4, 7)",5,OK,465.9875781404228,0.4049847886298762,1.1060290336608887,25
"(0, 4, 7)",8,OK,458.81235333945904,0.43786136826828376,1.1319549083709717,64
"(0, 4, 7)",10,OK,379.7717075174738,0.49224274812240076,1.1280021667480469,100
"(0, 4, 7)",15,OK,295.8198576831057,0.5749080116609866,1.1431150436401367,225
"(0, 4, 8)",5,OK,465.9875781404228,0.40498478862987614,1.1081438064575195,25
"(0, 4, 8)",8,OK,458.81235333945904,0.43786136826828376,1.1294310092926025,64
"(0, 4, 8)",10,OK,376.2706928699977,0.49126495378561613,1.1184399127960205,100
"(0, 4, 8)",15,OK,300.31919403956664,0.5554887797095325,1.1428842544555664,225
"(0, 4, 9)",5,OK,296.74074041570543,0.5330634692637083,1.1081228256225586,25
"(0, 4, 9)",8,OK,288.98018483879275,0.5457741224055709,1.137500286102295,64
"(0, 4, 9)",10,OK,283.17371920888235,0.5640343860124322,1.1348669528961182,100
"(0, 4, 9)",15,OK,247.27858328064744,0.6375995619759884,1.1357638835906982,225
"(0, 5, 6)",5,OK,465.9875781404228,0.40498478862987614,1.1118111610412598,25
"(0, 5, 6)",8,OK,458.81235333945904,0.43786136826828376,1.1366899013519287,64
"(0, 5, 6)",10,OK,458.02629839399157,0.4387662674446789,1.129150152206421,100
"(0, 5, 6)",15,OK,295.8198576831057,0.5749080116609866,1.1373319625854492,225
"(0, 5, 7)",5,OK,465.9875781404228,0.40498478862987614,1.1053533554077148,25
"(0, 5, 7)",8,OK,458.81235333945904,0.43786136826828376,1.1278047561645508,64
"(0, 5, 7)",10,OK,379.7717075174738,0.4922427481224008,1.1318671703338623,100
"(0, 5, 7)",15,OK,295.8198576831057,0.5749080116609866,1.1353957653045654,225
"(0, 5, 8)",5,OK,465.9875781404228,0.40498478862987614,1.108673095703125,25
"(0, 5, 8)",8,OK,458.81235333945904,0.43786136826828376,1.1293880939483643,64
"(0, 5, 8)",10,OK,376.0149339686709,0.49158309803870776,1.1330900192260742,100
"(0, 5, 8)",15,OK,374.3630554883097,0.4943643243316059,1.1456809043884277,225
"(0, 5, 9)",5,OK,296.78085229139305,0.5315494898277694,1.106687068939209,25
"(0, 5, 9)",8,OK,288.98018483879275,0.5457741224055709,1.124514102935791,64
"(0, 5, 9)",10,OK,283.17371920888235,0.5640343860124322,1.1235098838806152,100
"(0, 5, 9)",15,OK,247.27858328064744,0.6375995619759884,1.1293020248413086,225
"(0, 6, 7)",5,OK,465.9875781404228,0.40498478862987614,1.1086950302124023,25
"(0, 6, 7)",8,OK,458.81235333945904,0.43786136826828376,1.1349990367889404,64
"(0, 6, 7)",10,OK,458.02629839399157,0.4387662674446789,1.1248278617858887,100
